"filename", "language", "JavaScript", "JSON", "TypeScript", "Markdown", "HTML", "comment", "blank", "total"
"/home/amplify/Projects/Reflux/README.md", "Markdown", 0, 0, 0, 95, 0, 0, 29, 124
"/home/amplify/Projects/Reflux/demo/package.json", "JSON", 0, 26, 0, 0, 0, 0, 1, 27
"/home/amplify/Projects/Reflux/demo/public/index.html", "HTML", 0, 0, 0, 0, 512, 0, 86, 598
"/home/amplify/Projects/Reflux/demo/public/sw.js", "JavaScript", 21, 0, 0, 0, 0, 0, 6, 27
"/home/amplify/Projects/Reflux/demo/server.ts", "TypeScript", 0, 0, 59, 0, 0, 2, 12, 73
"/home/amplify/Projects/Reflux/docs/README.md", "Markdown", 0, 0, 0, 89, 0, 0, 25, 114
"/home/amplify/Projects/Reflux/docs/api-reference.md", "Markdown", 0, 0, 0, 462, 0, 0, 152, 614
"/home/amplify/Projects/Reflux/docs/examples.md", "Markdown", 0, 0, 0, 577, 0, 0, 127, 704
"/home/amplify/Projects/Reflux/docs/getting-started.md", "Markdown", 0, 0, 0, 173, 0, 0, 61, 234
"/home/amplify/Projects/Reflux/docs/html-modification.md", "Markdown", 0, 0, 0, 400, 0, 0, 71, 471
"/home/amplify/Projects/Reflux/docs/plugin-system.md", "Markdown", 0, 0, 0, 477, 0, 0, 139, 616
"/home/amplify/Projects/Reflux/docs/request-response-middleware.md", "Markdown", 0, 0, 0, 576, 0, 0, 148, 724
"/home/amplify/Projects/Reflux/docs/websocket-middleware.md", "Markdown", 0, 0, 0, 455, 0, 0, 91, 546
"/home/amplify/Projects/Reflux/esbuild.bundle.mjs", "JavaScript", 65, 0, 0, 0, 0, 0, 7, 72
"/home/amplify/Projects/Reflux/lib/index.cjs", "JavaScript", 4, 0, 0, 0, 0, 0, 3, 7
"/home/amplify/Projects/Reflux/lib/index.cjs.d.ts", "TypeScript", 0, 0, 5, 0, 0, 1, 4, 10
"/home/amplify/Projects/Reflux/lib/index.d.ts", "TypeScript", 0, 0, 84, 0, 0, 1, 18, 103
"/home/amplify/Projects/Reflux/package.json", "JSON", 0, 56, 0, 0, 0, 0, 1, 57
"/home/amplify/Projects/Reflux/src/api.ts", "TypeScript", 0, 0, 204, 0, 0, 0, 33, 237
"/home/amplify/Projects/Reflux/src/index.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 17, 94
"/home/amplify/Projects/Reflux/src/middleware.ts", "TypeScript", 0, 0, 455, 0, 0, 1, 81, 537
"Total", "-", 90, 82, 884, 3304, 512, 5, 1112, 5989
